Date,open,high,low,close,volume,adjclose
24/10/2019,134.8300018,135.0700073,133.3000031,134.0700073,2598500,132.5049896
25/10/2019,134.1199951,135.9299927,134.1000061,135.4400024,2579100,133.8589935
28/10/2019,136,136.6300049,135.4499969,135.9700012,3225700,134.3827972
29/10/2019,135.4199982,135.5700073,133.4400024,133.8200073,4160700,132.2579041
30/10/2019,133.8300018,135.2799988,133.1999969,135.25,2252700,133.6712036
31/10/2019,135.1100006,135.25,133.2299957,133.7299957,3412100,132.1689453
1/11/2019,134.5,135.5599976,134.0899963,135.5299988,3089800,133.947937
4/11/2019,136.2400055,137.7400055,136.2299957,137.6699982,3335400,136.0629578
5/11/2019,137.8000031,138.7599945,137.6300049,137.8899994,3015000,136.2803955
6/11/2019,138,138.7799988,137.5500031,138.7799988,4477300,137.1600037
7/11/2019,137.8699951,139.1399994,137.5800018,137.6900024,4073800,137.6900024
8/11/2019,137.5800018,137.6100006,136.1600037,137.6100006,2278400,137.6100006
11/11/2019,137.1999969,137.1999969,135,135.4700012,2568000,135.4700012
12/11/2019,135.8699951,136.6600037,135.0200043,135.5899963,3046500,135.5899963
